id, value
Talend Studio.Business.tVtigerCRMOutput,165
Talend Studio.Business.tWorkdayInput,166
Talend Studio.Business Intelligence,
Talend Studio.Business Intelligence.tBarChart,168
Talend Studio.Business Intelligence.DB2,
Talend Studio.Business Intelligence.DB2.tDB2SCD,169
Talend Studio.Business Intelligence.DB2.tDB2SCDELT,170
Talend Studio.Business Intelligence.Greenplum,
Talend Studio.Business Intelligence.Greenplum.tGreenplumSCD,171
Talend Studio.Business Intelligence.Informix,
Talend Studio.Business Intelligence.Informix.tInformixSCD,172
Talend Studio.Business Intelligence.Ingres,
Talend Studio.Business Intelligence.Ingres.tIngresSCD,173
Talend Studio.Business Intelligence.tJasperOutput,174
Talend Studio.Business Intelligence.tJasperOutputExec,175
Talend Studio.Business Intelligence.JDBC,
Talend Studio.Business Intelligence.JDBC.tJDBCSCDELT,176
Talend Studio.Business Intelligence.tLineChart,177
Talend Studio.Business Intelligence.tMondrianInput,178
Talend Studio.Business Intelligence.MSSql,
Talend Studio.Business Intelligence.MSSql.tMSSqlSCD,179
Talend Studio.Business Intelligence.Mysql,
Talend Studio.Business Intelligence.Mysql.tMysqlSCD,180
Talend Studio.Business Intelligence.Mysql.tMysqlSCDELT,181
Talend Studio.Business Intelligence.Netezza,
Talend Studio.Business Intelligence.Netezza.tNetezzaSCD,182
Talend Studio.Business Intelligence.Oracle,
Talend Studio.Business Intelligence.Oracle.tOracleSCD,183
Talend Studio.Business Intelligence.Oracle.tOracleSCDELT,184
Talend Studio.Business Intelligence.Palo,
Talend Studio.Business Intelligence.Palo.tPaloCheckElements,185
Talend Studio.Business Intelligence.Palo.tPaloClose,186
Talend Studio.Business Intelligence.Palo.tPaloConnection,187
Talend Studio.Business Intelligence.Palo.tPaloCube,188
Talend Studio.Business Intelligence.Palo.tPaloCubeList,189
Talend Studio.Business Intelligence.Palo.tPaloDatabase,190
Talend Studio.Business Intelligence.Palo.tPaloDatabaseList,191
Talend Studio.Business Intelligence.Palo.tPaloDimension,192
Talend Studio.Business Intelligence.Palo.tPaloDimensionList,193
Talend Studio.Business Intelligence.Palo.tPaloInputMulti,194
Talend Studio.Business Intelligence.Palo.tPaloOutput,195
Talend Studio.Business Intelligence.Palo.tPaloOutputMulti,196
Talend Studio.Business Intelligence.Palo.tPaloRule,197
Talend Studio.Business Intelligence.Palo.tPaloRuleList,198
Talend Studio.Business Intelligence.ParAccel,
Talend Studio.Business Intelligence.ParAccel.tParAccelSCD,199
Talend Studio.Business Intelligence.Postgres,
Talend Studio.Business Intelligence.Postgres.tPostgresPlusSCD,200
Talend Studio.Business Intelligence.Postgres.tPostgresPlusSCDELT,201
Talend Studio.Business Intelligence.Postgres.tPostgresqlSCD,202
Talend Studio.Business Intelligence.Postgres.tPostgresqlSCDELT,203
Talend Studio.Business Intelligence.Splunk,
Talend Studio.Business Intelligence.Splunk.tSplunkEventCollector,204
Talend Studio.Business Intelligence.Sybase,
Talend Studio.Business Intelligence.Sybase.tSybaseSCD,205
Talend Studio.Business Intelligence.Sybase.tSybaseSCDELT,206
Talend Studio.Business Intelligence.Teradata,
Talend Studio.Business Intelligence.Teradata.tTeradataSCD,207
Talend Studio.Business Intelligence.Teradata.tTeradataSCDELT,208
Talend Studio.Business Intelligence.Vertica,
Talend Studio.Business Intelligence.Vertica.tVerticaSCD,209
Talend Studio.Cloud,
Talend Studio.Cloud.Amazon,
Talend Studio.Cloud.Amazon.Aurora,
Talend Studio.Cloud.Amazon.Aurora.tAmazonAuroraClose,211
Talend Studio.Cloud.Amazon.Aurora.tAmazonAuroraCommit,212
Talend Studio.Cloud.Amazon.Aurora.tAmazonAuroraConnection,213
Talend Studio.Cloud.Amazon.Aurora.tAmazonAuroraInput,214
Talend Studio.Cloud.Amazon.Aurora.tAmazonAuroraOutput,215
Talend Studio.Cloud.Amazon.Aurora.tAmazonAuroraRollback,216
Talend Studio.Cloud.Amazon.tAmazonEMRListInstances,217
Talend Studio.Cloud.Amazon.tAmazonEMRManage,218
Talend Studio.Cloud.Amazon.tAmazonEMRResize,219
Talend Studio.Cloud.Amazon.Mysql,
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlClose,220
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlCommit,221
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlConnection,222
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlInput,223
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlOutput,224
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlRollback,225
Talend Studio.Cloud.Amazon.Mysql.tAmazonMysqlRow,226
Talend Studio.Cloud.Amazon.Oracle,
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleClose,227
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleCommit,228
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleConnection,229
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleInput,230
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleOutput,231
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleRollback,232
Talend Studio.Cloud.Amazon.Oracle.tAmazonOracleRow,233
Talend Studio.Cloud.Amazon.Redshift,
Talend Studio.Cloud.Amazon.Redshift.tAmazonRedshiftManage,234
Talend Studio.Cloud.Azure,
Talend Studio.Cloud.Azure.tAzureAdlsGen2Input,235
Talend Studio.Cloud.Azure.tAzureAdlsGen2Output,236
Talend Studio.Cloud.Azure.tAzureStorageConnection,237
Talend Studio.Cloud.Azure.tAzureStorageContainerCreate,238
Talend Studio.Cloud.Azure.tAzureStorageContainerDelete,239
Talend Studio.Cloud.Azure.tAzureStorageContainerExist,240
Talend Studio.Cloud.Azure.tAzureStorageContainerList,241
Talend Studio.Cloud.Azure.tAzureStorageDelete,242
Talend Studio.Cloud.Azure.tAzureStorageGet,243
Talend Studio.Cloud.Azure.tAzureStorageInputTable,244
Talend Studio.Cloud.Azure.tAzureStorageList,245
Talend Studio.Cloud.Azure.tAzureStorageOutputTable,246
Talend Studio.Cloud.Azure.tAzureStoragePut,247
Talend Studio.Cloud.Azure.tAzureStorageQueueCreate,248
Talend Studio.Cloud.Azure.tAzureStorageQueueDelete,249
Talend Studio.Cloud.Azure.tAzureStorageQueueInput,250
Talend Studio.Cloud.Azure.tAzureStorageQueueInputLoop,251
Talend Studio.Cloud.Azure.tAzureStorageQueueList,252
Talend Studio.Cloud.Azure.tAzureStorageQueueOutput,253
Talend Studio.Cloud.Azure.tAzureStorageQueuePurge,254
Talend Studio.Cloud.Box,
Talend Studio.Cloud.Box.tBoxConnection,255
Talend Studio.Cloud.Box.tBoxCopy,256
Talend Studio.Cloud.Box.tBoxDelete,257
Talend Studio.Cloud.Box.tBoxGet,258
Talend Studio.Cloud.Box.tBoxList,259
Talend Studio.Cloud.Box.tBoxPut,260
Talend Studio.Cloud.tCloudStart,261
Talend Studio.Cloud.tCloudStop,262
Talend Studio.Cloud.Cosmos,
Talend Studio.Cloud.Cosmos.tCosmosDBBulkLoad,263
Talend Studio.Cloud.Cosmos.tCosmosDBConnection,264
Talend Studio.Cloud.Cosmos.tCosmosDBInput,265
Talend Studio.Cloud.Cosmos.tCosmosDBOutput,266
Talend Studio.Cloud.Cosmos.tCosmosDBRow,267
Talend Studio.Cloud.Dropbox,
Talend Studio.Cloud.Dropbox.tDropboxConnection,268
Talend Studio.Cloud.Dropbox.tDropboxDelete,269
Talend Studio.Cloud.Dropbox.tDropboxGet,270
Talend Studio.Cloud.Dropbox.tDropboxList,271
Talend Studio.Cloud.Dropbox.tDropboxPut,272
Talend Studio.Cloud.Google,
Talend Studio.Cloud.Google.tGoogleDataprocManage,273
Talend Studio.Cloud.Google.tGoogleDriveConnection,274
Talend Studio.Cloud.Google.tGoogleDriveCopy,275
Talend Studio.Cloud.Google.tGoogleDriveCreate,276
Talend Studio.Cloud.Google.tGoogleDriveDelete,277
Talend Studio.Cloud.Google.tGoogleDriveGet,278
Talend Studio.Cloud.Google.tGoogleDriveList,279
Talend Studio.Cloud.Google.tGoogleDrivePut,280
Talend Studio.Cloud.tGSBucketCreate,281
Talend Studio.Cloud.tGSBucketDelete,282
Talend Studio.Cloud.tGSBucketExist,283
Talend Studio.Cloud.tGSBucketList,284
Talend Studio.Cloud.tGSClose,285
Talend Studio.Cloud.tGSConnection,286
Talend Studio.Cloud.tGSCopy,287
Talend Studio.Cloud.tGSDelete,288
Talend Studio.Cloud.tGSGet,289
Talend Studio.Cloud.tGSList,290
Talend Studio.Cloud.tGSPut,291
Talend Studio.Cloud.Marketo,
Talend Studio.Cloud.Marketo.tMarketoBulkExec,292
Talend Studio.Cloud.Marketo.tMarketoCampaign,293
Talend Studio.Cloud.Marketo.tMarketoConnection,294
Talend Studio.Cloud.Marketo.tMarketoInput,295
Talend Studio.Cloud.Marketo.tMarketoListOperation,296
Talend Studio.Cloud.Marketo.tMarketoOutput,297
Talend Studio.Cloud.Netsuite,
Talend Studio.Cloud.Netsuite.tNetsuiteInput,298
Talend Studio.Cloud.Netsuite.tNetsuiteOutput,299
Talend Studio.Cloud.Redshift,
Talend Studio.Cloud.Redshift.tRedshiftBulkExec,300
Talend Studio.Cloud.Redshift.tRedshiftClose,301
Talend Studio.Cloud.Redshift.tRedshiftCommit,302
Talend Studio.Cloud.Redshift.tRedshiftConnection,303
Talend Studio.Cloud.Redshift.tRedshiftInput,304
Talend Studio.Cloud.Redshift.tRedshiftOutput,305
Talend Studio.Cloud.Redshift.tRedshiftOutputBulk,306
Talend Studio.Cloud.Redshift.tRedshiftOutputBulkExec,307
Talend Studio.Cloud.Redshift.tRedshiftRollback,308
Talend Studio.Cloud.Redshift.tRedshiftRow,309
Talend Studio.Cloud.Redshift.tRedshiftUnload,310
Talend Studio.Cloud.S3,
Talend Studio.Cloud.S3.tS3BucketCreate,311
Talend Studio.Cloud.S3.tS3BucketDelete,312
Talend Studio.Cloud.S3.tS3BucketExist,313
Talend Studio.Cloud.S3.tS3BucketList,314
Talend Studio.Cloud.S3.tS3Close,315
Talend Studio.Cloud.S3.tS3Connection,316
Talend Studio.Cloud.S3.tS3Copy,317
Talend Studio.Cloud.S3.tS3Delete,318
Talend Studio.Cloud.S3.tS3Get,319
Talend Studio.Cloud.S3.tS3List,320
Talend Studio.Cloud.S3.tS3Put,321
Talend Studio.Cloud.Salesforce,
Talend Studio.Cloud.Salesforce.tSalesforceBulkExec,322
Talend Studio.Cloud.Salesforce.tSalesforceConnection,323
Talend Studio.Cloud.Salesforce.tSalesforceEinsteinBulkExec,324
Talend Studio.Cloud.Salesforce.tSalesforceEinsteinOutputBulkExec,325
Talend Studio.Cloud.Salesforce.tSalesforceGetDeleted,326
Talend Studio.Cloud.Salesforce.tSalesforceGetServerTimestamp,327
Talend Studio.Cloud.Salesforce.tSalesforceGetUpdated,328
Talend Studio.Cloud.Salesforce.tSalesforceInput,329
Talend Studio.Cloud.Salesforce.tSalesforceOutput,330
Talend Studio.Cloud.Salesforce.tSalesforceOutputBulk,331
Talend Studio.Cloud.Salesforce.tSalesforceOutputBulkExec,332
Talend Studio.Cloud.ServiceNow,
Talend Studio.Cloud.ServiceNow.tServiceNowConnection,333
Talend Studio.Cloud.ServiceNow.tServiceNowInput,334
Talend Studio.Cloud.ServiceNow.tServiceNowOutput,335
Talend Studio.Cloud.Snowflake,
Talend Studio.Cloud.Snowflake.tSnowflakeBulkExec,336
Talend Studio.Cloud.Snowflake.tSnowflakeClose,337
Talend Studio.Cloud.Snowflake.tSnowflakeConnection,338
Talend Studio.Cloud.Snowflake.tSnowflakeInput,339
Talend Studio.Cloud.Snowflake.tSnowflakeOutput,340
Talend Studio.Cloud.Snowflake.tSnowflakeOutputBulk,341
Talend Studio.Cloud.Snowflake.tSnowflakeOutputBulkExec,342
Talend Studio.Cloud.Snowflake.tSnowflakeRow,343
Talend Studio.Cloud.SQLDWH,
Talend Studio.Cloud.SQLDWH.tSQLDWHBulkExec,344
Talend Studio.Cloud.SQLDWH.tSQLDWHClose,345
Talend Studio.Cloud.SQLDWH.tSQLDWHCommit,346
Talend Studio.Cloud.SQLDWH.tSQLDWHConnection,347
Talend Studio.Cloud.SQLDWH.tSQLDWHInput,348
Talend Studio.Cloud.SQLDWH.tSQLDWHOutput,349
Talend Studio.Cloud.SQLDWH.tSQLDWHRollback,350
Talend Studio.Cloud.SQLDWH.tSQLDWHRow,351
Talend Studio.Cloud.SQS,
Talend Studio.Cloud.SQS.tSQSConnection,352
Talend Studio.Cloud.SQS.tSQSInput,353
Talend Studio.Cloud.SQS.tSQSMessageChangeVisibility,354
Talend Studio.Cloud.SQS.tSQSMessageDelete,355
Talend Studio.Cloud.SQS.tSQSOutput,356
Talend Studio.Cloud.SQS.tSQSQueueAttributes,357
